WEEK,ENDING,HOURS,  PAY,    NOTES,  WORK-TOTAL, SAVINGS-TOTAL,  REMAINDER,  INTERNSHIP*,INTERNSHIP EST. REMAINDER*, WEEKLY HOURS NEEDED,HOURLY PAY
1,   28.01, 17.5,   £183.75,£52.25, £610.24,    "£1,275.50",    "£7,974.50","£4,807.70","£3,166.80",                28.00,              10.5
2,   04.02, 13.0952,£137.49,,       ,           ,               ,           ,           ,                           ,
3,   11.02, 21.524, £226.00,,       ,           ,               ,           ,           ,                           ,
4,   18.02, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
5,   25.02, 6,      £63.00, ,       ,           ,               ,           ,           ,                           ,
6,   03.03, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
7,   10.03, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
8,   17.03, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
9,   24.03, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
10,  31.03, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
11,  07.04, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
12,  14.04, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
13,  21.04, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
14,  28.04, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
15,  05.05, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
16,  12.05, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
17,  19.05, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
18,  26.05, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
19,  02.06, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
20,  09.06, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
21,  16.06, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
22,  23.06, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
23,  30.06, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
24,  07.07, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
25,  14.07, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
26,  21.07, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
27,  28.07, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
28,  04.08, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
29,  11.08, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
30,  18.08, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
31,  25.08, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
32,  01.09, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,
33,  08.09, 0,      £0.00,  ,       ,           ,               ,           ,           ,                           ,